DateTime,AddedIPs,RemovedIPs
1487623113,512,0
1487623501,0,256
1487624402,0,512
1487632533,0,256
1487635202,0,256
1487683802,1792,0
1487687402,0,1024
1487689202,256,512
1487700915,0,256
1487709002,0,512
1487711734,256,0
1487713071,0,256
1487717135,256,0
1487770202,0,2048
1487774701,0,256
1487777486,2304,0
1487783727,256,0
1487789127,256,0
1487797202,0,256
1487798131,256,0
1487801732,0,256
1487856714,2304,0
1487859319,256,0
1487863871,0,2048
1487866522,256,0
1487870126,0,256
1487874602,0,256
1487876803,256,0
1487878202,0,256
1487880934,256,0
1487882702,512,0
1487889937,512,0
1487918740,0,256
1487939430,1536,0
1487943001,0,1280
1487952002,0,256
1487952931,256,0
1487957738,256,256
1487959201,0,256
1487965531,0,256
1487966402,0,512
1487967336,256,0
1487968566,0,512
1488025802,0,2816
1488036651,1792,0
1488064538,256,0
1488069676,256,0
1488119540,1024,0
1488123071,0,768
1488125732,256,512
1488132002,0,512
1488147341,256,0
1488152391,256,0
1488205981,0,1792
1488208542,0,256
1488209609,2304,0
1488220464,512,0
1488235143,256,0
1488236402,0,256
1488238358,0,256
1488292967,2048,0
1488295594,0,2048
1488298529,256,0
1488306988,256,0
1488318593,256,256
1488320134,0,256
1488321002,0,256
1488323736,256,0
1488325501,256,0
1488379502,0,2816
1488380402,0,256
1488382328,2816,0
1488384928,256,256
1488389813,256,0
1488393384,0,256
1488400895,256,0
1488402931,256,0
1488406536,256,0
1488409202,0,256
1488411902,0,256
1488415538,512,0
1488422739,256,0
1488468784,2816,3072
1488471327,0,256
1488473126,256,0
1488476083,256,256
1488482135,256,0
1488487529,0,256
1488492936,0,256
1488498434,256,0
1488503738,0,256
1488509136,0,256
1488551154,1280,0
1488552325,256,0
1488555249,0,1536
1488559528,256,256
1488561328,0,256
1488572132,256,0
1488575732,256,0
1488582002,0,256
1488606341,256,0
1488613540,256,0
1488634238,1536,0
1488636926,0,2816
1488638720,0,256
1488645929,256,0
1488660334,256,0
1488673524,256,0
1488691802,0,256
1488720467,0,1536
1488730551,0,256
1488731119,1280,0
1488732334,256,0
1488734129,256,0
1488737727,256,0
1488739530,0,256
1488741328,0,256
1488746731,0,256
1488748533,256,0
1488753934,256,0
1488755734,256,0
1488759336,0,256
1488761138,512,0
1488803402,1280,0
1488807126,256,0
1488816933,0,1536
1488818057,0,256
1488820534,0,256
1488823202,0,256
1488829072,256,0
1488830402,0,256
1488834939,0,256
1488835802,0,256
1488836433,512,0
1488838541,256,0
1488840342,0,256
1488841202,0,256
1488847544,0,256
1488852945,256,0
1488889802,0,1024
1488890743,0,256
1488893517,2304,0
1488899730,256,0
1488903329,256,0
1488907938,0,256
1488912333,256,0
1488914131,256,0
1488922794,0,768
1488926738,256,0
1488930052,256,0
1488932139,256,0
1488938402,0,256
1488978939,0,2560
1488986140,0,256
1488987002,0,256
1488993343,0,256
1488997941,2048,0
1488998703,0,256
1489000527,0,256
1489004866,256,0
1489005001,0,256
1489005933,512,0
1489013129,0,256
1489016307,256,0
1489016701,0,512
1489018534,512,0
1489066293,2048,0
1489072529,256,0
1489079722,256,0
1489083831,256,0
1489084203,0,1536
1489086929,256,0
1489088136,256,0
1489092331,0,256
1489093202,0,256
1489095103,256,0
1489102678,0,256
1489104933,0,256
1489110337,256,0
1489152375,1280,1280
1489158002,0,256
1489160730,256,0
1489163604,512,0
1489166598,256,512
1489169734,0,256
1489180536,0,256
1489187738,256,0
1489188445,0,256
1489239002,0,2048
1489241741,0,256
1489244402,0,256
1489246489,2560,256
1489249626,0,256
1489251601,0,256
1489263334,512,256
1489266933,0,256
1489272302,256,0
1489274135,0,256
1489275937,512,0
1489279349,0,256
1489332637,2560,2304
1489349728,0,256
1489357801,0,256
1489360539,256,0
1489362338,256,256
1489418859,2304,3072
1489419925,256,0
1489421719,256,0
1489422602,0,256
1489430328,256,0
1489432537,256,0
1489434331,256,0
1489445129,0,256
1489446931,0,256
1489448702,0,256
1489473982,256,0
1489501809,2816,0
1489502717,256,0
1489504514,0,1792
1489507216,0,256
1489509357,0,256
1489519845,0,256
1489522526,256,0
1489523895,256,0
1489526130,256,0
1489533331,256,0
1489535131,256,0
1489536927,0,256
1489538632,256,0
1489581001,1536,0
1489583718,256,0
1489587323,256,0
1489588591,256,3072
1489594526,0,256
1489598121,256,0
1489600802,0,256
1489601723,256,0
1489605330,256,0
1489608002,0,256
1489608928,256,0
1489610253,0,256
1489612531,0,256
1489616130,256,0
1489618802,0,256
1489621718,0,256
1489667403,0,2304
1489669211,0,256
1489673736,0,512
1489675138,2048,0
1489677318,256,0
1489679122,256,0
1489684517,0,256
1489685655,256,0
1489688119,256,0
1489691724,0,256
1489695332,256,256
1489696999,256,0
1489698931,256,0
1489706134,256,0
1489707932,256,0
1489761274,1536,2048
1489764193,0,256
1489768380,256,0
1489771801,0,256
1489774524,0,256
1489778129,256,0
1489778863,0,256
1489781728,256,0
1489783501,0,256
1489784402,0,256
1489791082,256,0
1489792532,256,0
1489794071,0,256
1489797950,256,0
1489825923,256,0
1489846534,0,1792
1489854988,2304,0
1489858202,0,256
1489860925,256,0
1489864526,0,256
1489866325,256,0
1489868127,0,512
1489869317,256,0
1489877102,256,0
1489878928,0,256
1489882528,0,256
1489884203,256,256
1489886133,256,0
1489941127,0,2816
1489944602,2048,0
1489948368,256,0
1489949102,0,256
1489953602,0,256
1489958120,256,0
1489959924,256,0
1489990532,256,0
1490023802,1536,0
1490031001,0,2816
1490031653,256,0
1490032801,0,256
1490033718,256,0
1490036403,0,256
1490037319,256,0
1490042717,0,256
1490051733,256,0
1490052736,256,0
1490076929,0,256
1490099474,1280,0
1490103917,256,0
1490105717,512,0
1490109318,0,1536
1490118302,0,256
1490120118,0,256
1490121924,256,0
1490128497,256,0
1490132724,256,0
1490136044,256,0
1490137202,0,256
1490143148,0,256
1490185802,0,1536
1490190302,0,256
1490192133,0,256
1490193180,1536,0
1490195715,256,0
1490202918,256,0
1490208301,0,256
1490211921,256,0
1490215007,0,256
1490216421,0,256
1490220923,256,0
1490221828,0,256
1490251535,256,0
1490279458,0,2560
1490281202,0,256
1490289331,0,256
1490290201,3328,0
1490291117,256,0
1490298319,256,256
1490314526,256,0
1490332532,256,0
1490341528,0,256
1490369550,768,0
1490375716,256,0
1490376602,0,2816
1490382918,256,0
1490383802,0,256
1490386524,256,0
1490390119,256,0
1490404526,0,256
1490420726,0,256
1490426133,0,256
1490455646,0,512
1490459426,1024,256
1490461202,0,512
1490465720,0,256
1490472926,256,0
1490485523,256,0
1490514037,256,0
1490544932,0,1024
1490545832,1280,0
1490558418,0,256
1490559317,256,0
1490564260,256,0
1490571589,256,0
1490592601,0,256
1490599802,0,256
1490625002,1792,0
1490632244,0,1280
1490635436,256,0
1490636721,0,256
1490645720,256,256
1490658335,256,0
1490679930,0,256
1490688932,0,256
1490691602,0,256
1490694332,256,0
1490711402,0,768
1490715001,0,512
1490720402,0,256
1490722005,1024,0
1490732118,256,0
1490737522,0,256
1490744727,256,0
1490791527,0,256
1490797676,1536,0
1490802316,256,0
1490808245,0,1280
1490997619,512,3840
1490998531,512,0
1491004805,256,0
1491005746,512,0
1491027335,256,0
1491058267,1024,0
1491087149,256,0
1491115879,0,256
1491117325,256,0
1491144698,1024,1024
1491149722,512,0
1491153304,0,256
1491156920,512,0
1491203728,0,512
1491231030,0,1024
1491234678,1536,0
1491235279,0,512
1491241520,0,256
1491243319,512,0
1491246008,0,512
1491250522,256,0
1491263482,0,256
1491276632,256,0
1491313843,2560,0
1491321019,0,1792
1491322520,0,256
1491329723,0,512
1491348624,0,256
1491350437,256,0
1491353431,256,0
1491399905,0,2048
1491411627,0,256
1491420629,0,256
1491431430,0,256
1491436348,0,256
1491439914,1536,256
1491442218,256,0
1491465011,1024,0
1491468686,256,0
1491474617,256,0
